,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,2.2722500562667847,0.0062340497970581055,0.12421596050262451,0.005013108253479004,gini,sqrt,50,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 50}",0.7519744264761189,0.7515516268572503,0.7517630266666846,0.00021139980943429837,12
1,9.501724243164062,0.6178021430969238,0.405900239944458,0.009525060653686523,gini,sqrt,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200}",0.7578036855960888,0.7521158548053414,0.7549597702007151,0.0028439153953737084,8
2,22.082307934761047,0.10892736911773682,1.0154048204421997,0.023737549781799316,gini,sqrt,500,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500}",0.7581797668296352,0.7526800827534323,0.7554299247915337,0.0027498420381014133,7
3,1.6765432357788086,0.004320383071899414,0.1292792558670044,0.002935051918029785,gini,log2,50,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 50}",0.7559232794283566,0.7494827910475832,0.7527030352379699,0.0032202441903866896,11
4,6.494787573814392,0.02892005443572998,0.497758150100708,0.011643171310424805,gini,log2,200,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200}",0.7585558480631817,0.7496708670302802,0.7541133575467309,0.004442490516450737,9
5,16.11457598209381,0.10266768932342529,1.1184977293014526,0.011513590812683105,gini,log2,500,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500}",0.7589319292967281,0.7536204626669174,0.7562761959818227,0.002655733314905373,4
6,2.3166943788528442,0.007030129432678223,0.12292087078094482,0.004362940788269043,entropy,sqrt,50,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 50}",0.7572395637457691,0.7560654504419786,0.7566525070938739,0.0005870566518952347,2
7,9.162240624427795,0.05465233325958252,0.4238874912261963,0.00742650032043457,entropy,sqrt,200,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 200}",0.7611884166980067,0.7523039307880384,0.7567461737430226,0.004442242954984188,1
8,25.244603753089905,2.315576910972595,1.005907416343689,0.022089838981628418,entropy,sqrt,500,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 500}",0.7589319292967281,0.7538085386496144,0.7563702339731713,0.0025616953235568785,3
9,1.7016667127609253,0.003435492515563965,0.1406388282775879,0.004408359527587891,entropy,log2,50,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 50}",0.7608123354644604,0.7511754748918563,0.7559939051781583,0.004818430286302022,5
10,6.721425294876099,0.02946782112121582,0.48031818866729736,0.0025991201400756836,entropy,log2,200,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 200}",0.7551711169612636,0.7517397028399473,0.7534554099006054,0.001715707060658156,10
11,16.562129855155945,0.03315460681915283,1.151382565498352,0.018248677253723145,entropy,log2,500,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 500}",0.7579917262128619,0.7534323866842204,0.7557120564485411,0.0022796697643207575,6
