,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,3.7017663717269897,0.03203237056732178,0.05119025707244873,0.0015910863876342773,0.005,50,"{'learning_rate': 0.005, 'n_estimators': 50}",0.6227905227529146,0.628361858190709,0.6255761904718118,0.002785667718897211,12
1,14.438198924064636,0.06367528438568115,0.07776141166687012,0.004596233367919922,0.005,200,"{'learning_rate': 0.005, 'n_estimators': 200}",0.658518239939827,0.6582659394395336,0.6583920896896803,0.0001261502501467282,10
2,35.514432311058044,0.01701533794403076,0.11877179145812988,0.0017464160919189453,0.005,500,"{'learning_rate': 0.005, 'n_estimators': 500}",0.6795787890184279,0.6783900695881137,0.6789844293032707,0.0005943597151571445,8
3,3.6146771907806396,0.03216385841369629,0.05049002170562744,0.0015434026718139648,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.6429108687476495,0.6424675568929847,0.6426892128203171,0.00022165592733236483,11
4,14.253647089004517,0.03942465782165527,0.07356822490692139,0.0021818876266479492,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.6733734486649117,0.6768854617265375,0.6751294551957245,0.0017560065308129258,9
5,36.674448132514954,1.4659663438796997,0.21456801891326904,0.09839975833892822,0.01,500,"{'learning_rate': 0.01, 'n_estimators': 500}",0.6949981195938323,0.6938123001692684,0.6944052098815503,0.0005929097122819305,7
6,4.734224915504456,1.1986747980117798,0.05375325679779053,0.000554203987121582,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.697254606995111,0.6930599962384804,0.6951573016167957,0.0020973053783153173,6
7,14.47286570072174,0.6842492818832397,0.12566590309143066,0.048772335052490234,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7164347499059797,0.7129960504043633,0.7147154001551714,0.0017193497508081745,4
8,34.880874037742615,0.47035396099090576,0.12477433681488037,0.005775570869445801,0.1,500,"{'learning_rate': 0.1, 'n_estimators': 500}",0.7312899586310643,0.724844837314275,0.7280673979726696,0.0032225606583946576,3
9,3.4883604049682617,0.00348663330078125,0.05063366889953613,0.0006461143493652344,1.0,50,"{'learning_rate': 1.0, 'n_estimators': 50}",0.7068446784505453,0.7201429377468497,0.7134938080986974,0.0066491296481521744,5
10,13.760408282279968,0.005526900291442871,0.07437825202941895,0.0018987655639648438,1.0,200,"{'learning_rate': 1.0, 'n_estimators': 200}",0.7269650244452802,0.7406432198608238,0.733804122153052,0.006839097707771802,2
11,34.263036489486694,0.03606867790222168,0.1241917610168457,0.002569913864135742,1.0,500,"{'learning_rate': 1.0, 'n_estimators': 500}",0.7482136141406543,0.745533195410946,0.7468734047758001,0.0013402093648541835,1
