,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,22.34591770172119,0.8497552871704102,26.558095574378967,0.5209413766860962,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7008273787138022,0.6783900695881137,0.6896087241509579,0.011218654562844266,6
1,21.891945123672485,2.4138927459716797,21.551462292671204,1.092645287513733,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.6869123730725837,0.6721835621591122,0.679547967615848,0.007364405456735723,7
2,29.063820242881775,0.49702203273773193,33.73309814929962,0.1432245969772339,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6476118841669801,0.6324995298100432,0.6400557069885117,0.0075561771784684595,9
3,28.753714442253113,0.008707642555236816,25.66204047203064,0.08538174629211426,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.506769462203836,0.5066766973857438,0.5067230797947899,4.638240904608626e-05,10
4,21.316513180732727,0.38559019565582275,24.443333506584167,0.027504801750183105,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7448288830387364,0.7336844085010344,0.7392566457698855,0.005572237268850977,4
5,20.639779090881348,0.1287989616394043,18.682809472084045,0.19694030284881592,1,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.7397517863858594,0.7413955237916118,0.7405736550887356,0.0008218687028762051,3
6,25.76523792743683,0.2756110429763794,29.292407274246216,0.4712944030761719,1,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6878525761564498,0.6659770547301109,0.6769148154432804,0.010937760713169431,8
7,29.259522199630737,1.0533685684204102,24.921149134635925,0.02216041088104248,1,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.506769462203836,0.5066766973857438,0.5067230797947899,4.638240904608626e-05,10
8,18.86888873577118,0.09360873699188232,21.78105068206787,0.025634050369262695,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7626927416321926,0.7562535264246756,0.7594731340284341,0.003219607603758501,1
9,18.289345860481262,0.012272477149963379,16.344815731048584,0.17386150360107422,10,scale,poly,"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.750470101541933,0.7549369945457965,0.7527035480438649,0.002233446501931746,2
10,21.003899574279785,0.29869794845581055,24.051345467567444,0.3847898244857788,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7138021812711546,0.7126198984389693,0.713211039855062,0.000591141416092622,5
11,28.133090615272522,0.006136775016784668,25.28714346885681,0.3356459140777588,10,auto,poly,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.506769462203836,0.5066766973857438,0.5067230797947899,4.638240904608626e-05,10
