,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8833346366882324,0.0440216064453125,0.07085311412811279,0.005606532096862793,0.0,constant,123,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 123}",0.08316717866008594,-0.016888983152825165,0.03313909775363039,0.05002808090645555,7
1,0.06279313564300537,0.0026715993881225586,0.0,0.0,0.0,optimal,123,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 123}",,,,,12
2,1.11439847946167,0.11566472053527832,0.14604008197784424,0.007412552833557129,0.0,invscaling,123,"{'alpha': 0.0, 'learning_rate': 'invscaling', 'random_state': 123}",0.25662459219973655,0.2505050395981895,0.253564815898963,0.0030597763007735312,3
3,0.7622798681259155,0.014850735664367676,0.10063648223876953,0.02100086212158203,0.01,constant,123,"{'alpha': 0.01, 'learning_rate': 'constant', 'random_state': 123}",-0.19923239759868383,-0.21028168913298195,-0.2047570433658329,0.005524645767149061,8
4,39.401127099990845,0.3214547634124756,0.07529890537261963,0.0009828805923461914,0.01,optimal,123,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 123}",-2.272564050716801e+16,-6.190083070421472e+18,-3.10640435546432e+18,3.0836787149571517e+18,11
5,0.6968897581100464,0.04977524280548096,0.07408690452575684,0.004583835601806641,0.01,invscaling,123,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 123}",0.2513434966289628,0.24979026586127262,0.2505668812451177,0.0007766153838451029,4
6,0.9017298221588135,0.08457732200622559,0.07368361949920654,0.0014652013778686523,0.001,constant,123,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 123}",0.11307461204343305,-0.04258829937626363,0.03524315633358471,0.07783145570984834,5
7,39.111037850379944,0.4364813566207886,0.07135641574859619,0.004076838493347168,0.001,optimal,123,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 123}",-2.420828894057129e+17,-2.5447894662565407e+18,-1.3934361778311268e+18,1.1513532884254139e+18,10
8,0.699559211730957,0.03400611877441406,0.07675659656524658,0.0004731416702270508,0.001,invscaling,123,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 123}",0.2566610212400734,0.250748358627059,0.2537046899335662,0.0029563313065071872,1
9,0.8723320960998535,0.061012983322143555,0.0702211856842041,0.00687408447265625,0.0001,constant,123,"{'alpha': 0.0001, 'learning_rate': 'constant', 'random_state': 123}",0.08834144255128562,-0.01891469416088687,0.034713374195199376,0.053628068356086245,6
10,38.704224824905396,0.002329111099243164,0.06959080696105957,0.005623817443847656,0.0001,optimal,123,"{'alpha': 0.0001, 'learning_rate': 'optimal', 'random_state': 123}",-4.9962408761942496e+17,-6.192051547336384e+17,-5.594146211765317e+17,5.979053355710672e+16,9
11,0.7012535333633423,0.031281113624572754,0.06898009777069092,0.00544893741607666,0.0001,invscaling,123,"{'alpha': 0.0001, 'learning_rate': 'invscaling', 'random_state': 123}",0.25663176800024756,0.2505336652497083,0.25358271662497794,0.003049051375269618,2
